time,current,voltage
2.16126645,-7.77287444e-05,8.48564909
2.16326645,-7.74571573e-05,8.55146492
2.16526645,-7.71693696e-05,8.61593037
2.16726645,-7.68824997e-05,8.67903528
2.16926645,-7.6539483e-05,8.74076966
2.17126645,-7.61960408e-05,8.80112377
2.17326645,-7.58325359e-05,8.86008808
2.17526645,-7.54489399e-05,8.91765328
2.17726645,-7.54866688e-05,8.97381028
2.17926645,-7.54789243e-05,9.02855022
2.18126645,-7.54332922e-05,9.08186443
2.18326645,-7.53362338e-05,9.13374452
2.18526645,-7.52018092e-05,9.18418229
2.18726645,-7.50282549e-05,9.23316976
2.18926645,-7.48176953e-05,9.28069921
2.19126645,-7.45723425e-05,9.32676313
2.19326645,-7.43009256e-05,9.37135425
2.19351645,-7.42638245e-05,9.37682423
2.19401645,-7.41886897e-05,9.38769476
2.19501645,-7.40328707e-05,9.40915777
2.19701645,-7.36930546e-05,9.45096859
2.19901645,-7.33332701e-05,9.49128698
2.19926645,-7.32880472e-05,9.49622153
2.19976645,-7.31988051e-05,9.50602031
2.19989145,-7.31739431e-05,9.50845535
2.20014145,-7.31272859e-05,9.51330783
2.20064145,-7.3029882e-05,9.52294237
2.20164145,-7.28322115e-05,9.54192938
2.20364145,-7.24117859e-05,9.57877257
2.20564145,-7.19787801e-05,9.61410317
2.20764145,-7.15275232e-05,9.64791558
2.20964145,-7.10595176e-05,9.68020448
2.21164145,-7.05762787e-05,9.71096476
2.21364145,-7.00792222e-05,9.74019156
2.21389145,-7.00248542e-05,9.74373686
2.21439145,-6.98982472e-05,9.75075532
2.21539145,-6.96427971e-05,9.76450346
2.21739145,-6.91145959e-05,9.79084275
2.21939145,-6.85847567e-05,9.81563596
2.22139145,-6.80457918e-05,9.83887916
2.22339145,-6.75084405e-05,9.86056869
2.22539145,-6.69463125e-05,9.88070113
2.22739145,-6.63865791e-05,9.89927328
2.22939145,-6.58212687e-05,9.91628223
2.23139145,-6.5259902e-05,9.93172528
2.23339145,-6.46766064e-05,9.94559999
2.23539145,-6.40982911e-05,9.95790418
2.23739145,-6.35168652e-05,9.9686359
2.23939145,-6.29327714e-05,9.97779346
2.23964145,-6.28680446e-05,9.9788274
2.24014145,-6.27215818e-05,9.9808214
2.24114145,-6.24282785e-05,9.98451387
2.24314145,-6.1832018e-05,9.99071617
2.24514145,-6.1242619e-05,9.99534082
2.24714145,-6.06521594e-05,9.99838709
2.24914145,-6.00609228e-05,9.9998545
